author	video_id
1	5
2	3
3	2
4	6
5	3
7	1
9	8
10	3
11	3
12	1
13	1
14	1
15	1
16	777
17	1
18	1
19	18
20	12
22	1
23	1
24	51
25	9
26	33
27	30
28	7
29	56
30	291
31	1
32	1
33	214
34	2
36	5
37	1
39	50
42	16
43	15
45	5
46	57
48	11
49	1
51	1
52	1
53	3
57	3
58	2
59	2
62	1
63	1
65	2
66	16
67	2
68	5
69	31
70	4
71	16
72	5
73	119
75	1
78	1
79	4
80	1
81	10
82	8
83	3
84	1
85	12
87	2
88	3
92	1
93	2
95	1
96	99
97	44
99	2
100	2
101	1
102	1
103	2
104	7
106	1
109	29
111	7
113	3
114	45
116	1
117	1
118	7
119	2
120	2
121	5
122	1
123	5
124	1
125	2
126	3
127	5
128	1
129	2
130	60
