category_cc	join_date	channel	name_cc	subscribers_cc	videos_cc	subscriber_rank_sb	weights
Music	2010-12-03	UCb2HGwORFBo94DmRx4oLzow	One Direction	29939074	157	47.0	2.0869999999999997
Entertainment	2012-02-20	UCX6OQ3DkcsbYNE6H8uQQuVA	MrBeast	24300000	709	54.0	2.0869999999999997
Education	2011-12-14	UCcdwLMPsaU2ezNSJU1nFoBQ	Pinkfong! Kids' Song...	23200000	1382	55.0	2.0869999999999997
Music	2012-11-22	UCOsyDsO5tIt-VZ1iwjdQmew	Speed Records	25502155	7451	59.0	2.0869999999999997
Music	2012-09-23	UCa10nxShhzNrCE1o2ZOPztg	Trap Nation	27300000	1779	60.0	2.0869999999999997
Music	2009-09-02	UC3MLnJtqc_phABBriLRhtgQ	SonyMusicIndiaVEVO	24800000	3013	63.0	2.0869999999999997
Music	2011-05-16	UC9TO_oo4c_LrOiKNaY6aysA	Daddy Yankee	24630113	347	64.0	2.0869999999999997
Entertainment	2007-08-04	UC6-F5tO8uklgE9Zy8IvbdFw	SAB TV	23700000	25390	65.0	2.0869999999999997
Music	2009-05-12	UCANLZYMidaCbLQFWXBC95Jg	TaylorSwiftVEVO	27200000	102	69.0	2.0869999999999997
Music	2009-05-12	UC2xskkQVFEpLcGFnNSLQY0A	RihannaVEVO	26095809	106	76.0	2.0869999999999997
Music	2009-05-12	UC20vb-R_px4CguHzzBPhoyQ	EminemVEVO	26000000	84	77.0	2.0869999999999997
Music	2013-02-06	UCiGm_E4ZwYSHV3bcW1pnSeQ	Billie Eilish	20735006	22	78.0	2.0869999999999997
Music	2009-12-13	UC-8Q-hLdECwQmaWNwXitYDw	KatyPerryVEVO	26000000	132	79.0	2.0869999999999997
Entertainment	2014-05-13	UCKqx9r4mrFglauNBJc1L_eg	[토이푸딩] ToyPu...	25600000	2851	80.0	2.0869999999999997
Education	2013-10-25	UCRx3mKNUdl8QE06nEug7p6Q	Billion Surprise Toy...	24700000	150	83.0	2.0869999999999997
Comedy	2005-11-19	UCY30JRSgfhYXA6i6xX1erWg	Smosh	24800000	1074	85.0	2.0869999999999997
Gaming	2012-05-26	UC7_YxT-KID8kRbqZo7MyscQ	Markiplier	24400000	4484	86.0	2.0869999999999997
Gaming	2011-09-15	UCKqH_9mk1waLgBiL2vT5b9g	VanossGaming	24800000	1079	87.0	2.0869999999999997
Music	2011-08-14	UC_aEa8K-EOJ3D6gOs7HcyNg	NoCopyrightSounds	23500000	666	88.0	2.0869999999999997
Music	2011-01-19	UCAvCL8hyXjSUHKEGuUPr1BA	Shawn Mendes	23479003	87	89.0	2.0869999999999997
Entertainment	2008-07-16	UCstEtN0pgOmCf02EdXsGChw	ABS-CBN Entertainmen...	21708527	128728	90.0	2.0869999999999997
Education	2011-06-22	UCKAqou7V9FAWXpZd9xtOg3Q	Little Baby Bum - Nu...	19900000	958	93.0	2.0869999999999997
Music	2015-06-23	UCM9r1xn6s30OnlJWb-jc3Sw	XXXTENTACION	21900000	76	94.0	2.0869999999999997
Entertainment	2015-03-17	UChGJGhZ9SOOHvBB0Y4DOO_w	Ryan ToysReview	21600000	1512	95.0	2.0869999999999997
Comedy	2006-01-08	UC8-Th83bH_thdKZDJCrn88g	The Tonight Show Sta...	22100000	5450	96.0	2.0869999999999997
Music	2011-02-18	UCt-k6JwNWHMXDBGm9IYHdsg	J Balvin	22275879	40	97.0	2.0869999999999997
Music	2014-08-05	UC4NALVCmcmL5ntpV0thoH6w	LooLoo Kids - Nurser...	18500000	415	98.0	2.0869999999999997
Gaming	2007-02-24	UCYzPXprvl5Y-Sf0g4vX-m6g	jacksepticeye	22833014	4255	99.0	2.0869999999999997
Comedy	2005-09-22	UCV9_KinVpV-snHe3C3n1hvA	shane	22300000	1690	100.0	2.0869999999999997
Entertainment	2005-12-11	UCppHT7SZKKvar4Oc9J4oljQ	Zee TV	35300000	81392	101.0	2.0869999999999997
Music	2006-03-13	UCq-Fj5jknLsUf-MWSy4_brA	T-Series	112139463	13839	102.0	2.0869999999999997
Gaming	2011-11-11	UCAW-NpUFkMyCNrvRSSGIvDQ	Ninja	22400000	929	104.0	2.0869999999999997
Music	2010-12-04	UCbW18JZRgko_mOGm5er8Yzg	OneDirectionVEVO	22900000	171	105.0	2.0869999999999997
Music	2008-11-08	UC-yXuc1__OzjwpsJPlxYUCQ	WORLDSTARHIPHOP	22000000	4380	106.0	2.0869999999999997
Entertainment	2008-06-13	UC55IWqFLDH1Xp7iu1_xknRA	Colors TV	20200000	32696	107.0	2.0869999999999997
Education	2008-08-26	UCsPF3cApzCohxPp5oKdoWSQ	CVS 3D Rhymes	21600000	326	108.0	2.0869999999999997
Gaming	2012-07-14	UCS5Oz6CHmeoF7vSad0qqXfw	DanTDM	22100000	3211	109.0	2.0869999999999997
Entertainment		UCBR8-60-B28hp2BmDPdntcQ	YouTube	28200000	301	110.0	2.0869999999999997
Music	2010-06-11	UCP6uH_XlsxrXwZQ4DlqbqPg	Shemaroo Filmi Gaane...	27700000	6277	111.0	2.0869999999999997
Entertainment	2006-11-21	UCJ0uqCI0Vqr2Rrt1HseGirg	The Late Late Show w...	20600000	3613	112.0	2.0869999999999997
Entertainment	2007-02-27	UCX52tYZiEh_mHoFja3Veciw	Eros Now	20100000	10086	113.0	2.0869999999999997
Entertainment	2007-01-25	UCaWd5_7JhbQBe4dknZhsHJg	WatchMojo.com	21284359	17081	114.0	2.0869999999999997
Music	2006-03-09	UCBVjMGOIkavEAhyqpxJ73Dw	Maroon 5	27100000	154	115.0	2.0869999999999997
Music	2007-07-12	UCpDJl2EmP7Oh90Vylx0dZtA	Spinnin' Records	25968404	9106	116.0	2.0869999999999997
Entertainment	2006-07-21	UCSAUGyc_xA8uYzaIVG6MESQ	nigahiga	21400000	390	117.0	2.0869999999999997
Music	2006-10-24	UC4rasfm9J-X4jNl9SvXp8xA	Ultra Music	19600000	3839	118.0	2.0869999999999997
Music	2006-03-18	UCEf_Bc-KVd7onSeifS3py9g	SMTOWN	19800000	3842	119.0	2.0869999999999997
Music	2009-12-11	UC1l7wYrva1qCH-wgqcHaaRg	David Guetta	20800000	520	120.0	2.0869999999999997
Entertainment	2009-07-25	UCVtFOytbRpEvzLjvqGG5gxQ	KSI	20400000	1195	123.0	2.0869999999999997
Music	2009-08-03	UCT9zcQNlyht7fRlcjmflRSA	ImagineDragons	19627716	51	124.0	2.0869999999999997
Music	2011-09-26	UCcvNYxWXR_5TjVK7cSCdW-g	T-Series Apna Punjab...	18800000	4322	125.0	2.0869999999999997
Entertainment	2007-09-01	UCF1JIbMUs6uqoZEY1Haw0GQ	Shemaroo	18700000	6766	126.0	2.0869999999999997
Music	2008-04-04	UCsRM0YB_dabtEPGPTKo-gcw	Adele	20289957	13	127.0	2.0869999999999997
Film and Animation	2006-06-07	UCbTLwN10NoCU4WDzLf1JMOA	YRF	23400000	3709	128.0	2.0869999999999997
Entertainment	2009-10-21	UCmL1WlDI8UkXDXCXcBQN9CA	Ultra Bollywood	18200000	10320	130.0	2.0869999999999997
Music	2011-02-13	UCaayLD9i5x4MmIoVZxXSv_g	T-Series Bhakti Saga...	22200000	20381	131.0	2.0869999999999997
Education	2006-09-08	UCLsooMJoIpl_7ux2jvdPB-Q	Super Simple Songs -...	17400000	470	133.0	2.0869999999999997
Music	2008-05-09	UCVp3nfGRxmMadNDuVbJSk8A	Wiz Khalifa	19200000	473	134.0	2.0869999999999997
Entertainment	2015-08-29	UCG8rbF3g2AMX70yOd8vqIZg	Logan Paul Vlogs	19800000	645	136.0	2.0869999999999997
Music	2013-08-28	UC3jOd7GUMhpgJRBhiLzuLsg	Nicki Minaj	19727756	19	137.0	2.0869999999999997
Music	2012-09-22	UCq3Ci-h945sbEYXpVlw7rJg	The Chainsmokers	19500000	182	138.0	2.0869999999999997
Comedy	2010-02-16	UC9gFih9rw0zNCK3ZtoKQQyA	JennaMarbles	19900000	466	139.0	2.0869999999999997
Nonprofits & Activism	2009-06-23	UCsT0YIqwnpJCM-mx7-gSA4Q	TEDx Talks	20700000	141627	140.0	2.0869999999999997
Entertainment	2007-06-04	UC0v-tlzsn0QZwJnkiaUSJVQ	FBE	19600000	2080	143.0	2.0869999999999997
People & Blogs	2013-09-19	UCcgVECVN4OKV6DH1jLkqmcA	Jake Paul	19600000	824	144.0	2.0869999999999997
Education	2014-06-06	UC1ciY6kR3yj3kaKZ6R7ewAg	Infobells - Hindi	16600000	274	145.0	2.0869999999999997
Music	2009-06-05	UCByOQJjav0CUDwxCk-jVNRQ	Drake	19036382	48	146.0	2.0869999999999997
Music	2015-08-24	UCtW7qWjpCZ8zps-Cf2NF26w	Gaane Sune Ansune	17337898	2266	147.0	2.0869999999999997
Music	2005-09-22	UCWi_65E_L8tQZ34C6wVAlpQ	Venus	16800000	4204	148.0	2.0869999999999997
Entertainment	2015-02-06	UCw8ZhLPdQ0u_Y-TLKd61hGA	1MILLION Dance Studi...	17791046	1669	149.0	2.0869999999999997
Music	2009-09-02	UCGnjeahCJW1AF34HBmQTJ-Q	shakiraVEVO	19200000	144	153.0	2.0869999999999997
Entertainment	2011-01-19	UCwD4x63A9KC7Si2RuSfg-SA	Lucas and Marcus	17100000	498	156.0	2.0869999999999997
Music	2007-04-12	UC-6czyMkxDi8E8akPl0c7_w	Enrique Iglesias	18183321	359	157.0	2.0869999999999997
People & Blogs	2011-08-10	UCpko_-a4wgz2u_DgDgd9fqA	BuzzFeedVideo	19400000	6334	158.0	2.0869999999999997
