author	video_id	likes	replies
1	Gkb1QMHrGvA	2	0
1	CNtp0xqoods	0	0
1	249EEzQmVmQ	1	0
1	_U443T2K_Bs	0	0
1	rJbjhm0weYc	0	0
2	EpHERODJ7gM	0	0
2	9pQILRT42Cg	0	0
2	PWWRzCyuiFU	0	0
3	o7W2fdWXnPc	0	0
3	Y9XhBAazNqk	0	0
4	9dYn-z8RoZg	0	0
4	7fY0grcsIIE	1	0
4	aM88wp03DNo	0	0
4	7pN6ZgGRfQU	0	0
4	u_alXoZ4774	0	0
4	tYpX-AeDfAA	0	0
5	Z7gFd-KUeB0	0	0
5	9MuGpmXGlsY	0	0
5	UvZPbfUkMGw	0	0
7	GhKOJ1WX1Yw	0	0
9	DntjEzbQPF8	0	1
9	NcmBhu4O89g	0	0
9	adWazveLyQo	0	0
9	6z9QbZDd_U0	1	0
9	vta8SbVR7_4	0	0
9	QHDA4sCZqho	1	0
9	w0pGbIxH1C4	0	0
9	WgwIIqy6xzU	0	0
10	R8-SQrebLHM	0	0
10	ttpyDGL969k	0	0
10	6e6Hp6R5SVU	0	0
11	qj9sjQjQ19M	0	0
11	nyEi9eCUB9g	0	0
11	4yv--cCtumc	0	0
12	00LZPEyfcew	1	0
13	jRzgdv1Z4m4	0	0
14	4aLfKYD_bGw	0	0
15	OsV-Uq8fgqo	0	0
16	sZH53_pzKIk	0	0
16	64yHcPF5EtQ	0	0
16	oISigRnDWwg	1	0
16	vXQszL7_AyU	1	0
16	J7IMwop3RHs	1	0
16	VAU-L2oIBds	0	0
16	QdR6xqntvas	0	0
16	-LqKw4w1dPI	1	0
16	YcCghxtAbMo	0	0
16	1BbNqRZATtQ	0	0
16	FM5E64xFofE	0	0
16	FM5E64xFofE	1	0
16	TSOqUkC_hz4	0	0
16	smEI2FTmhf8	0	0
16	v-hZgUtS7dk	0	0
16	a3iUEK7oDyU	0	0
16	4gadOebTGWM	0	0
16	aP0bKcsSNuA	0	0
16	pW6C-jS8L6A	0	0
16	EvjCemD1YNU	0	0
16	orHzEgiMa7E	1	2
16	orHzEgiMa7E	0	0
16	ujdUh7ZfkUY	6	0
16	x-X0R_6abVA	0	0
16	Z3GnhH66DL8	3	0
16	MUmphISxqUk	0	0
16	C6C3Zf1PYX8	0	0
16	Z2JXTwWswKQ	1	0
16	m8CD5klYbc4	5	0
16	q-aZFxwX5Zs	0	0
16	XZJj5uYCStg	0	0
16	Y3YJWODoYKQ	0	0
16	MH7aoE85Gdw	0	0
16	QyDQuEttdcM	0	0
16	qki81bhyaFY	1	0
16	LQ8yqvNsaJg	2	0
16	oB90zUD86l0	0	0
16	zAGKnaSPnmI	0	0
16	XHarZFMCdNo	1	0
16	3WVBsmP1JAc	0	0
16	zsmcj27xU00	0	0
16	QYh6mYIJG2Y	0	0
16	Y0uGI-Im4lg	0	0
16	wcrmBhxsgVU	0	0
16	hsJZ84oBU04	0	0
16	OvPWbJHE670	0	2
16	TVnaueYeoVU	0	0
16	_C2y9prQH4g	0	0
16	bUNHJ3EL_r0	0	0
16	1g1drZ1j-C0	0	0
16	P4soUB4N_7Y	0	0
16	byuY5TkWOhI	19	4
16	byuY5TkWOhI	0	0
16	EuMsgBiAXNY	7	0
16	XxGdZc58mNc	0	0
16	qx29rY2BZuA	0	0
16	EFqVM5l-AzY	0	0
16	IiW2smvEcBM	0	0
16	TjJUzm2l8qc	0	0
16	7Ulz90yD1Gk	3	0
16	xTlNMmZKwpA	1	0
