category_cc	join_date	channel	name_cc	subscribers_cc	videos_cc	subscriber_rank_sb
Entertainment	2012-11-26	UCfBdqJCkjt6z-E4sMOdLwWQ	Manas Robin	138000	89	78925.0
People & Blogs	2017-05-20	UCNd1xoBimkOA81AMyhceuvQ	MANAS SARKAR BJP	16300	39	695947.0
Entertainment	2017-04-07	UCKK8-FeA2PuLUBbnnNW6u6Q	MANASLU TV	14000	106	717326.0
Nonprofits & Activism	2014-01-01	UCSQ4EcsdtS3YxG2oHLF6heg	Manav Dharam	34400	170	361223.0
People & Blogs	2018-05-29	UCRc7W7gDbaiJxjp0V3g9NSQ	Manazir official	405000	11	27198.0
Nonprofits & Activism	2010-12-12	UCJjuggclDEHRQ09vXG61ulw	MANA_STAR Network	103000	255	148262.0
People & Blogs	2013-09-05	UCTSAZOQBBMkLV_waCn-7TLQ	ManBehindACameraASMR...	318000	366	52778.0
Music	2006-12-02	UCAsptD_XMmQdzRxlkWkEd_A	ManBetterKnow	405434	119	42675.0
Howto & Style	2008-07-04	UCvuxP-7u-XOBn954mDN-d-w	Manboobs	16900	46	660706.0
Music	2013-01-07	UC9iV_jDimIVtFhDbTwOE4BA	Manc Mantas	222000	154	74139.0
Entertainment	2010-04-18	UCc9i8iExpVch7swujYEAsCQ	Mancat	114443	186	148949.0
Howto & Style	2011-11-20	UCxKp57dtigGYrmOUcpaG_0Q	ManCaveMeals	18100	233	602953.0
People & Blogs	2012-12-11	UCbEFXgV6bWbhwHIWNr2psZA	ManCaveTV	104000	119	151194.0
Music	2013-09-20	UC1HBaotmt9PHoF_Xca0lg9Q	Manchester Music	12800	146	770717.0
Music	2006-03-27	UCxi28TQABtfZ0pfvMVozD7Q	Manchester Orchestra...	93500	164	161769.0
Education	2015-01-06	UCtJ9PC1Llj4f2DWPEz8utTA	Manchester Twp Schoo...	10300	102	920473.0
Sports	2017-12-19	UC6yW44UGJJBvYTlfC7CRg2Q	Manchester United	2060000	1058	5043.0
Sports	2012-03-27	UCSoH-gNtz_ENvl8xJCic6QA	Manchester United Fo...	82074	260	190012.0
Music	2009-09-02	UC6dVU35ESCJnLE3ojC7ZaQQ	manchesterorchVEVO	27200	30	472212.0
Nonprofits & Activism	2007-12-12	UC7qH-uzX0yfgfZ9oOO6oE1w	Daniel Kolenda	41900	348	275812.0
Music	2011-06-22	UCc28q6XYs4RPN9eehLVuDQA	Daniel Koren	16500	99	660825.0
Education	2010-04-20	UC9NTBQja_r2NI5e56PvuSAA	Daniel Kreuter	56700	250	253163.0
Gaming	2009-12-08	UCWv6ueBFfCwqpUgyus8H_zA	Daniel Kross	410000	1603	45346.0
Music	2006-07-16	UC7U8JLsvsVuXkxxxwNATdYQ	Daniel Kurganov, Vio...	13100	410	771926.0
Music	2013-12-02	UCad-_hTvV-yBPcpy9jwQWeA	Daniel Levi	17354	28	625509.0
People & Blogs	2014-04-25	UCEJonaNpmKOV6insNak1pcw	Daniel Lopez	212000	611	
Music	2015-09-18	UChfsIanorHPd6edPRvpstpA	Daniel Ludtke - Topi...	11893	81	724170.0
Nonprofits & Activism	2008-11-09	UCx0ZQDIzJGUhmL4Wlq3q7XA	Daniel Mackler	26800	182	437731.0
Entertainment	2007-03-19	UCB99aK4f2WaH96joccxLvSQ	Daniel Madison	56700	249	234899.0
News & Politics	2013-12-08	UCJeZHwcNy0QXxj21FgrJFlg	Daniel Malice	22800	356	468193.0
Science & Technology	2013-06-10	UCi3r7qQejDD-joRZCvso-Bg	Daniel Malone	10500	138	773466.0
Sports	2015-03-22	UCxZzSxuBaWqbHXkLb-kxRpw	Daniel Mann	68565	58	193011.0
Travel & Events	2013-08-02	UCiNCvGzwadWCZIzTUjoApRQ	Daniel Marsh	394000	299	45469.0
People & Blogs	2012-06-25	UCM9AjjOmNfbHp5TjhJvyqdg	Daniel McCarthy	12200	217	788383.0
Film and Animation	2016-10-23	UCXeKbLBy5lyC9_2ET2LAHbA	Daniel Mendoza	91300	111	174312.0
Film and Animation	2006-12-06	UC6g6gjIQzkIa31jmdHmlDAg	Daniel Menendez	12700	124	787860.0
Music	2014-09-03	UCPascXL4VviE9wHLsepiEZg	Daniel Mitchell	24700	191	434826.0
Howto & Style	2014-05-14	UCZ3rO8Nb9I1p9Wh_lQ6ebew	Daniel Moss	12500	253	739709.0
Sports	2006-10-02	UC0w4AA42ItXQEb9aZld87-w	Daniel Negreanu	351000	293	48724.0
Education	2015-01-30	UC4db8x07Kr0LQODjjen6w7A	Taylor Allard	14600	88	744777.0
Howto & Style	2012-01-09	UCPKQCiX7D5qH4nk_cU_w_yg	Taylor Anise	36800	337	355214.0
People & Blogs	2011-11-28	UC35K3xgKfNXBd6ve_SUDJXw	Taylor Anne	12400	94	849808.0
Entertainment	2015-02-15	UCIeWn_WVQSPJOR2cPCQL2-w	Taylor ASMR	44300	123	294356.0
Entertainment	2016-01-18	UC2PvxqPFSxpq-uR0u3R1nFw	Taylor Audrey	153000	67	102127.0
Comedy	2010-06-17	UCEHaiWJC-HzEVSghHUvKkcw	Taylor Avonte	17000	50	661367.0
People & Blogs	2007-04-23	UCr67AW-AhPT5A-er9Uyg4nA	Taylor B	10200	160	962353.0
Howto & Style	2010-05-19	UCXYYwdNgc7xIHJYgPLGmUww	Taylor Bee	321000	318	56794.0
Film and Animation	2008-05-18	UCdXo448KcHrq95zvcoJvhqg	Taylor Brooker Art	35200	51	379238.0
People & Blogs	2013-09-23	UCMBli0InHqxEwD4bjAbrHTA	Taylor Caniff	385000	34	48914.0
People & Blogs	2011-12-23	UCxHBO6bYxH0eAJ1Hi6850lQ	Taylor Chamberlain- ...	100000	395	157711.0
People & Blogs	2015-12-26	UCuLTG7wAYmortOYdWbDgrHg	Taylor Chay	37380	163	369494.0
Sports	2016-11-09	UCwcmA3ntMmoRyMFszww3_Zg	Taylor Cummings	12500	364	819275.0
Music	2010-04-29	UCk40qSGYnVdFFBNXRjrvdpQ	Taylor Davis	2680000	193	4158.0
Travel & Events	2017-11-07	UCYzxEJsvn0S_JVYkZx5UAFQ	Taylor Dzaman	46300	176	280039.0
Entertainment	2016-12-27	UC2Qf21mV-8HdOuNa8srmLZQ	Taylor Faye	240000	196	73365.0
Music	2010-12-23	UCJH0Ov30iLFhyalvZcKsdJQ	Taylor Felt Music	65500	79	213378.0
Education	2011-11-01	UCQFUt_0q3piEMaxJtOsz0fQ	Taylor Fuentes	48500	343	
Music	2014-09-27	UCQ75pjIhIi8BFqWdTnUpfjA	Taylor Gang	223000	365	79355.0
Music	2015-03-28	UCceZc-Bn_geUR5sQRlCKQow	Taylor Gang	91900	63	160373.0
People & Blogs	2014-09-09	UCoOk1yZwdIDxcZnZd3XuKkQ	Pookie Senpai	181000	105	97590.0
