author	video_id
1	5
2	3
3	2
4	6
5	3
7	1
9	8
10	3
11	3
12	1
13	1
14	1
15	1
16	777
17	1
18	1
19	18
20	12
22	1
23	1
24	51
25	9
26	33
27	30
28	7
29	56
30	291
31	1
32	1
33	214
34	2
36	5
37	1
39	50
42	16
43	15
45	5
46	57
48	11
49	1
51	1
52	1
53	3
57	3
58	2
59	2
62	1
63	1
65	2
66	16
67	2
68	5
69	31
70	4
71	16
72	5
73	119
75	1
78	1
79	4
80	1
81	10
82	8
83	3
84	1
85	12
87	2
88	3
92	1
93	2
95	1
96	99
97	44
99	2
100	2
101	1
102	1
103	2
104	7
106	1
109	29
111	7
113	3
114	45
116	1
117	1
118	7
119	2
120	2
121	5
122	1
123	5
124	1
125	2
126	3
127	5
128	1
129	2
130	60
134	2
135	58
136	9
137	3
138	1
139	2
140	3
141	57
142	3
144	2
146	23
147	6
148	297
153	9
154	4
155	4
156	30
157	1
158	1
159	1
160	1
161	1
162	2
163	3
164	6
165	45
166	1
167	1
168	5
170	2
171	1
172	25
174	2
175	14
176	18
177	9
178	1
179	3
180	9
181	1
182	16
183	1
184	13
186	2
187	1
188	1
190	39
191	2
192	1
193	9
194	1
195	2
196	1
197	2
198	12
199	1
200	3
201	13
202	1
204	1
205	1
206	27
208	1
209	1
211	1
212	1
214	1
215	1
216	2
217	32
218	1
219	9
221	2
222	10
224	154
225	2
226	1
227	57
228	91
230	1
231	8
233	130
236	1
238	2
239	1
240	1
241	6
242	2
243	1
244	2
246	9
248	7
250	1
251	3
252	1
254	2
255	1
259	1
260	1
262	1
264	10
265	1
266	1
268	8
269	249
271	2
273	6
274	6
277	1
278	109
279	2
280	9
282	2
283	26
284	103
285	7
286	4
288	1
289	1
290	1
291	2
293	1
294	5
295	1
296	6
297	1
298	19
299	214
301	1
303	6
304	1
305	45
306	1
307	4
308	2
312	41
313	4
314	31
316	2
317	19
318	14
319	1
321	8
322	4
324	7
325	1
327	11
329	1
330	1
331	26
332	1
333	9
334	1
335	2
336	28
337	27
338	20
339	81
341	1
342	1
343	12
344	1
346	9
347	9
349	2
351	1
352	1
353	1
355	3
356	1
357	5
358	11
359	1
361	4
362	7
364	8
365	1
366	1
367	1
368	2
370	2
371	171
372	1
373	35
374	5
375	1
376	1
377	7
378	2
380	4
381	1
382	7
383	1
386	5
387	10
388	1
390	1
391	11
394	3
396	10
397	1
398	3
399	2
400	1
401	12
402	2
403	27
404	1
405	3
406	3
409	52
410	2
411	1
412	2
413	4
414	1
415	1
416	81
417	4
418	16
419	196
420	540
422	2
423	1
424	1
425	1
426	5
428	93
429	5
430	34
431	21
433	4
434	2
435	8
436	2
437	2
438	7
441	1
442	2
444	6
447	1
448	1
450	11
453	5
454	19
455	1
456	2
457	3
