author	video_id	likes	replies
1	Gkb1QMHrGvA	2	0
1	CNtp0xqoods	0	0
1	249EEzQmVmQ	1	0
1	_U443T2K_Bs	0	0
1	rJbjhm0weYc	0	0
2	EpHERODJ7gM	0	0
2	9pQILRT42Cg	0	0
2	PWWRzCyuiFU	0	0
3	o7W2fdWXnPc	0	0
3	Y9XhBAazNqk	0	0
4	9dYn-z8RoZg	0	0
4	7fY0grcsIIE	1	0
4	aM88wp03DNo	0	0
4	7pN6ZgGRfQU	0	0
4	u_alXoZ4774	0	0
4	tYpX-AeDfAA	0	0
5	Z7gFd-KUeB0	0	0
5	9MuGpmXGlsY	0	0
5	UvZPbfUkMGw	0	0
7	GhKOJ1WX1Yw	0	0
9	DntjEzbQPF8	0	1
9	NcmBhu4O89g	0	0
9	adWazveLyQo	0	0
9	6z9QbZDd_U0	1	0
9	vta8SbVR7_4	0	0
9	QHDA4sCZqho	1	0
9	w0pGbIxH1C4	0	0
9	WgwIIqy6xzU	0	0
10	R8-SQrebLHM	0	0
10	ttpyDGL969k	0	0
10	6e6Hp6R5SVU	0	0
11	qj9sjQjQ19M	0	0
11	nyEi9eCUB9g	0	0
11	4yv--cCtumc	0	0
12	00LZPEyfcew	1	0
13	jRzgdv1Z4m4	0	0
14	4aLfKYD_bGw	0	0
15	OsV-Uq8fgqo	0	0
16	sZH53_pzKIk	0	0
16	64yHcPF5EtQ	0	0
16	oISigRnDWwg	1	0
16	vXQszL7_AyU	1	0
16	J7IMwop3RHs	1	0
16	VAU-L2oIBds	0	0
16	QdR6xqntvas	0	0
16	-LqKw4w1dPI	1	0
16	YcCghxtAbMo	0	0
16	1BbNqRZATtQ	0	0
16	FM5E64xFofE	0	0
16	FM5E64xFofE	1	0
16	TSOqUkC_hz4	0	0
16	smEI2FTmhf8	0	0
16	v-hZgUtS7dk	0	0
16	a3iUEK7oDyU	0	0
16	4gadOebTGWM	0	0
16	aP0bKcsSNuA	0	0
16	pW6C-jS8L6A	0	0
16	EvjCemD1YNU	0	0
16	orHzEgiMa7E	1	2
16	orHzEgiMa7E	0	0
16	ujdUh7ZfkUY	6	0
16	x-X0R_6abVA	0	0
16	Z3GnhH66DL8	3	0
16	MUmphISxqUk	0	0
16	C6C3Zf1PYX8	0	0
16	Z2JXTwWswKQ	1	0
16	m8CD5klYbc4	5	0
16	q-aZFxwX5Zs	0	0
16	XZJj5uYCStg	0	0
16	Y3YJWODoYKQ	0	0
16	MH7aoE85Gdw	0	0
16	QyDQuEttdcM	0	0
16	qki81bhyaFY	1	0
16	LQ8yqvNsaJg	2	0
16	oB90zUD86l0	0	0
16	zAGKnaSPnmI	0	0
16	XHarZFMCdNo	1	0
16	3WVBsmP1JAc	0	0
16	zsmcj27xU00	0	0
16	QYh6mYIJG2Y	0	0
16	Y0uGI-Im4lg	0	0
16	wcrmBhxsgVU	0	0
16	hsJZ84oBU04	0	0
16	OvPWbJHE670	0	2
16	TVnaueYeoVU	0	0
16	_C2y9prQH4g	0	0
16	bUNHJ3EL_r0	0	0
16	1g1drZ1j-C0	0	0
16	P4soUB4N_7Y	0	0
16	byuY5TkWOhI	19	4
16	byuY5TkWOhI	0	0
16	EuMsgBiAXNY	7	0
16	XxGdZc58mNc	0	0
16	qx29rY2BZuA	0	0
16	EFqVM5l-AzY	0	0
16	IiW2smvEcBM	0	0
16	TjJUzm2l8qc	0	0
16	7Ulz90yD1Gk	3	0
16	xTlNMmZKwpA	1	0
16	XyaTOjQJdM8	0	0
16	MhW626r7PFI	1	0
16	dpsGGkjDV3w	1	0
16	G26LqmFn86Q	0	0
16	jaHO7-b70WI	0	0
16	0rkHEpd-6m8	0	0
16	bv5PTPxBn2E	1	0
16	6ONRf7h3Mdk	1	0
16	pgN-vvVVxMA	2	0
16	OfvOi5h1SiM	11	0
16	Mndy39E_T8M	0	0
16	q-g-dpB0ZIM	0	0
16	Q71v1xfVF8I	0	0
16	zlRMS91ZrE4	0	0
16	kMvgtbQyAr8	0	0
16	7AkXdYrSsFs	0	0
16	iNE6PNlwPNg	0	0
16	1g1drZ1j-C0	1	0
16	uB_p1Pyv1ps	1	0
16	qq1X8Sv1cs8	0	0
16	Z2JXTwWswKQ	0	0
16	9bxWYwy7LAg	0	0
16	DrCDsLhdsoY	0	0
16	FACvqs--tBI	0	0
16	vtux-vgimtA	0	0
16	_W-fPw8Z0Vc	0	0
16	YI7MzgDYImE	0	0
16	om1OAoaIwpw	0	0
16	_XzPs7lPbC4	1	0
16	vt4d7jle490	0	0
16	Rm5HS0PLhL8	0	0
16	MikD7plCDQg	0	0
16	TJGXIP7ceaM	0	0
16	2AxWyHTbnoQ	2	2
16	2AxWyHTbnoQ	0	0
16	NBsCzN-jfvA	1	0
16	W3uArqSvUdY	0	0
16	mUrhtk-EHEs	1	0
16	mKnfkxp2EVU	0	0
16	9q4Egy1uVfk	0	0
16	v-XNdS-mC1I	0	0
16	HTUSRJeIKzc	0	0
16	N8Gq93SlD6c	6	0
16	WkV-AaJ8m8Y	0	0
16	pfOGPHrA3xg	0	0
16	Q_zxBVOF0YI	0	0
16	n38Qxi7TVWo	21	8
16	n38Qxi7TVWo	0	0
16	Xm_xLkd6QUE	0	0
16	cc9QWe6Lg2U	0	0
16	zhMIVd56oVM	0	0
16	iunPQJsRoe0	0	0
16	tHUh4KEWtyU	0	0
16	LxlH_hAqPKs	1	0
16	yNn4_-S8UYg	0	0
16	PZQae4UdqZU	0	0
16	zkgk0x3begQ	1	0
16	s9sgU7fWlV4	0	0
16	nfpsYh8hCKM	0	0
16	3VhuKisJ2AQ	21	1
16	ZKmEbQuqe1g	0	0
16	HJyfpL-O1WU	0	0
16	xNDwPagb4Jo	1	0
16	w3mE-VyDm64	0	0
16	XkMg5FMSnlM	0	0
16	aQtjdKTIO6E	0	0
16	dXBPdEIfN7A	0	0
16	2uHvubTIMr0	0	0
16	tsObLTAm_b4	0	0
