,categories,channel_id_nunique,display_id_count,view_count_sum,view_count_mean,view_count_median,view_count_gmean,like_count_sum,like_count_mean,like_count_median,like_count_gmean,dislike_count_sum,dislike_count_mean,dislike_count_median,dislike_count_gmean,duration_sum,duration_mean,duration_median,duration_gmean
0,,375,1522,156400876.0,102760.10249671486,4784.0,0.0,158975.0,193.40024330900243,10.0,,19257.0,23.427007299270073,1.0,,1137880,747.6215505913271,137.0,195.20742477671283
1,Autos & Vehicles,13340,2256967,123094343678.0,54539.79047871388,3071.0,,956300323.0,433.5580642543443,27.0,,67905562.0,30.78635790947376,1.0,,852657449,377.78906337576046,191.0,192.24722329113888
2,Comedy,25478,1172503,345039111412.0,294277.1805915068,7421.0,,6134162539.0,5292.090405730559,141.0,,233255004.0,201.23473431114493,6.0,,596953237,509.1272576701296,218.0,198.71922180035514
3,Education,25587,3795564,502391834628.0,132365.16058310118,2377.0,,2881361591.0,800.4406985656381,38.0,,385363724.0,107.05383503545693,2.0,,3692708661,972.901171209338,414.0,431.8789744232364
4,Entertainment,61559,12276397,2287747784951.0,186353.72067556108,4457.0,,20140552867.0,1676.189743048997,53.0,,1479342143.0,123.1176791884202,3.0,,7666398193,624.4827527979097,250.0,261.975872245326
5,Film & Animation,32961,2359736,576280806991.0,244215.23990761634,5108.0,,3737846598.0,1616.8583205438542,63.0,,314305751.0,135.95739027145993,3.0,,1505306945,637.9132856387324,191.0,196.03380153074875
6,Gaming,33141,13720303,1042503029744.0,75982.51334001249,4113.0,,17351327104.0,1276.9328214708478,81.0,,714293975.0,52.566896779100524,3.0,,19654718199,1432.5279987621266,698.0,642.732736076072
7,Howto & Style,31289,3968127,420666785070.0,106011.42177909124,5796.0,0.0,5790819053.0,1514.3157262588095,117.0,,292454070.0,76.47757482250493,5.0,,2322773279,585.3575954096227,374.0,343.0937593745825
8,Movies,3,5,712448.0,142489.6,170642.0,101385.95695892746,10043.0,2008.6,2146.0,1618.0983311133728,458.0,91.6,92.0,67.82847211953008,1029,205.8,227.0,196.9854071935612
9,Music,42883,8305003,2474987207747.0,298012.0994437199,3321.0,,19270464688.0,2350.635441580067,50.0,,891764134.0,108.77850704947963,2.0,,3913741624,471.2510788978643,230.0,250.71394744489015
10,News & Politics,11334,8881022,158642353980.0,17863.599074448688,654.0,,1892882798.0,220.58786728901237,6.0,,200040640.0,23.311817401136896,1.0,,4565935814,514.1227905977488,160.0,200.81350918479146
11,Nonprofits & Activism,6857,777449,18508414941.0,23807.638058179993,1237.0,,242948972.0,331.11449836520467,19.0,,14352728.0,19.561294261793492,1.0,,930119676,1196.3738791869305,494.0,476.118365263459
12,People & Blogs,70768,6910666,617343103271.0,89334.88624105827,2645.0,,9138068304.0,1354.3336431865878,57.0,,476076966.0,70.55835329199321,2.0,,4694677820,679.3379711883051,350.0,320.6512855509707
13,Pets & Animals,9534,645508,72076163905.0,111658.22199449425,1963.0,,659841475.0,1053.8662625875438,33.0,,38102165.0,60.85489886043299,1.0,,312415971,483.9846616928063,166.0,172.67937525502074
14,Science & Technology,15916,2403004,175003322992.0,72826.92655481496,3424.0,,1978449383.0,845.5497273742883,36.0,,156087020.0,66.7084729797533,3.0,,1498622945,623.6456306356544,270.0,282.17485227470706
15,Shows,1,41,3116311.0,76007.58536585367,46295.0,38792.27769235386,29134.0,710.5853658536586,341.0,268.3062697290269,688.0,16.78048780487805,9.0,7.2194238835444295,58851,1435.3902439024391,1413.0,1380.2602145859066
16,Sports,15895,4354412,262006516097.0,60170.38269179981,2932.0,,2528111024.0,588.2570216607759,28.0,,132818493.0,30.905055344457296,1.0,,2438326605,559.9669036829772,185.0,198.88079635681945
17,Travel & Events,15915,1096565,56393865116.0,51427.8387251804,1827.0,,459804581.0,431.95960118820585,19.0,,28640244.0,26.905839757548883,1.0,,606822072,553.3844979549776,217.0,220.48228993897217
