,categories,channel_id_nunique,display_id_count,view_count_sum,view_count_mean,view_count_median,view_count_gmean,like_count_sum,like_count_mean,like_count_median,like_count_gmean,dislike_count_sum,dislike_count_mean,dislike_count_median,dislike_count_gmean,duration_sum,duration_mean,duration_median,duration_gmean
0,,41,147,4872061.0,33143.272108843536,1567.0,1750.8787417673768,1635.0,17.210526315789473,1.0,,276.0,2.905263157894737,0.0,,32453,220.7687074829932,136.0,144.39909995252657
1,Autos & Vehicles,3118,186404,10075494906.0,54051.92434711701,3106.0,0.0,46924875.0,257.1183761362827,18.0,,3401727.0,18.63929360065314,1.0,,54506083,292.4083335121564,166.0,168.32567637597683
2,Comedy,4939,90952,29293953978.0,322081.4713035447,6189.5,0.0,382084158.0,4252.466978297162,75.0,,14195480.0,157.9908736783528,3.0,,35791394,393.51959275222094,191.0,168.70433429133766
3,Education,5748,255626,53060768058.0,207574.3108327498,2591.0,,126622421.0,527.0246733733179,23.0,,21571494.0,89.7843327409171,1.0,,236711088,926.0055236947728,355.0,395.25236747290404
4,Entertainment,13936,807142,170576459120.0,211333.8905917422,4291.0,0.0,984541143.0,1239.9996763163033,30.0,,64084659.0,80.71268222951315,2.0,,386255290,478.54688518253295,205.0,206.9074734884066
5,Film & Animation,6425,170831,44822864555.0,262381.3274815461,5751.0,0.0,192875093.0,1149.1399283854555,38.0,,16449194.0,98.00345561030248,2.0,,79749781,466.8343626156845,161.0,168.39700726717183
6,Gaming,9272,1146869,100577283193.0,87697.27248098954,4325.0,0.0,1397112764.0,1225.7063156943543,66.0,,41343406.0,36.271140850099535,2.0,,1112332086,969.8859119916922,653.0,536.3070362497903
7,Howto & Style,8604,293392,32456904146.0,110626.41157904782,7400.0,0.0,381223707.0,1348.8723781419837,104.0,,15491982.0,54.81481402853261,4.0,,133882101,456.32498841140864,321.0,293.6865060560729
8,Movies,1,1,189267.0,189267.0,189267.0,189267.0,3608.0,3608.0,3608.0,3607.9999999999986,107.0,107.0,107.0,106.99999999999996,273,273.0,273.0,273.0
9,Music,15458,653974,225552023079.0,344895.5354036564,4021.0,,1393897646.0,2163.815745476843,37.0,,65920271.0,102.3312728486382,1.0,,280987951,429.6622663897953,235.0,247.29764211151593
10,News & Politics,2006,460032,9823972655.0,21355.30167925656,454.0,,67002941.0,150.47676808056218,2.0,,6738149.0,15.13269222563338,0.0,,181522078,394.58576359905396,146.0,172.40054315009584
11,Nonprofits & Activism,1511,70375,2011997426.0,28590.473988603582,1646.0,,20527930.0,305.1028506881484,17.0,,1169697.0,17.384991528194764,1.0,,68104784,967.7411580817052,423.0,433.12246024297036
12,People & Blogs,16017,411033,30593420748.0,74431.83824867527,2024.0,,369441212.0,918.4254067693379,28.0,,14379195.0,35.746466793451916,1.0,,225177429,547.8329696155783,279.0,259.1618956869743
13,Pets & Animals,1887,37009,6030013513.0,162933.70566618931,2669.0,0.0,30244055.0,831.3831161691132,24.0,,2191575.0,60.244515916213096,1.0,,9029726,243.9873003863925,114.0,120.21794698772277
14,Science & Technology,3784,186324,11760997577.0,63121.216681694255,3541.0,0.0,98260875.0,543.4181782988608,23.0,,6619505.0,36.608256829996684,2.0,,102145569,548.2147710439879,224.0,244.4214070576375
15,Sports,4574,330836,19024858321.0,57505.40546071165,3018.0,0.0,125850483.0,386.6409920828763,20.0,,6389936.0,19.631320718777747,1.0,,134876743,407.68460203847224,151.0,160.46722883271826
16,Travel & Events,2625,78988,3649576637.0,46204.190978376464,1591.0,0.0,16340184.0,214.0616763172374,11.0,,1238228.0,16.221185841171692,0.0,,27336908,346.08938066541754,166.0,161.02258845641978
