,categories,channel_id_nunique,display_id_count,view_count_sum,view_count_mean,view_count_median,view_count_gmean,like_count_sum,like_count_mean,like_count_median,like_count_gmean,dislike_count_sum,dislike_count_mean,dislike_count_median,dislike_count_gmean,duration_sum,duration_mean,duration_median,duration_gmean
0,,76,100,3310138.0,33101.38,1602.0,1851.3915799904776,102.0,12.75,9.0,,19.0,2.375,2.0,,131826,1318.26,370.0,389.2241490279141
1,Autos & Vehicles,6164,385196,21331905529.0,55379.49747270863,3106.0,,242180539.0,644.2273943669466,51.0,,16244908.0,43.21327715176472,3.0,,191174095,496.30342734607837,257.0,254.45256039503843
2,Comedy,8539,224823,56108651334.0,249569.22069014597,6597.5,,1291755178.0,5796.939327032679,171.0,,47788208.0,214.4565371532172,6.0,,136183415,605.7361346481455,263.0,237.077481103892
3,Education,11954,854858,111167689592.0,130044.56911035125,1947.0,,807228135.0,992.9750387175421,50.0,,120168579.0,147.81992129790797,2.0,,836796804,978.8722852216391,425.0,440.1103669680437
4,Entertainment,32643,2697068,506618704187.0,187840.88624811507,4283.0,,5217643482.0,1976.1862309720373,76.0,,428582367.0,162.32588052914505,4.0,,1940522281,719.4932723238717,293.0,304.2642622828483
5,Film & Animation,13699,467608,112717422240.0,241055.22292557743,5008.0,,901425416.0,1979.8580621922345,93.0,,75929971.0,166.76983206603148,4.0,,369508951,790.210926673624,237.0,246.47616266902727
6,Gaming,23558,2641479,194307172327.0,73560.01917373532,4144.0,,3416875427.0,1304.8441870642723,103.0,,164681124.0,62.88880351698307,4.0,,4945972873,1872.4255892248245,773.0,796.6438254267706
7,Howto & Style,16968,791664,96899747265.0,122400.09305083974,4751.0,0.0,1378036257.0,1811.110908567591,144.0,,81758434.0,107.45260941621467,5.0,,557323846,703.9903873360415,450.0,409.4619778220394
8,Music,27939,1612171,353451812792.0,219239.79033972844,2560.0,,3781701075.0,2370.9397581976928,60.0,,181478744.0,113.77820744792236,2.0,,834162194,517.4154565489641,225.0,255.1662602266905
9,News & Politics,4104,2120989,34543555050.0,16286.984978287826,654.0,,466716074.0,228.55182076121247,7.0,,46878426.0,22.956461569651793,1.0,,1176393889,554.644031157163,162.0,209.87147528199762
10,Nonprofits & Activism,1928,130403,3058718154.0,23456.787328026505,1027.0,,46578783.0,380.72602213467167,27.0,,3038866.0,24.83910676627814,1.0,,187940639,1441.229411900033,631.0,560.6383777860115
11,People & Blogs,30138,1684526,147669814416.0,87666.59132012386,2713.0,,2335231603.0,1416.9647577867688,74.0,,127839522.0,77.57007788589195,3.0,,1207813777,717.0051260710728,377.0,338.4659776046608
12,Pets & Animals,2817,145417,12505292429.0,85996.083188348,1754.0,0.0,163110645.0,1150.4570140853018,48.0,,8372063.0,59.050092044661056,2.0,,95686003,658.0111197452843,236.0,228.236410945705
13,Science & Technology,7700,476513,34683811700.0,72786.70613393548,2947.0,0.0,488274384.0,1062.785292177899,56.0,,38638466.0,84.10106022911049,4.0,,338465513,710.2964934849626,316.0,325.2279050944867
14,Sports,7288,861920,53403969952.0,61959.31171338407,2896.0,0.0,616352393.0,723.0949458047517,44.0,,33777065.0,39.626722087892624,2.0,,603202449,699.8357724614814,221.0,237.4187514866329
15,Travel & Events,4990,181124,10841798884.0,59858.433360570656,2075.0,0.0,111546650.0,629.0981433856705,38.0,,6903874.0,38.9363043674427,2.0,,117769467,650.2145877962059,284.0,280.4144103086453
