,categories,channel_id_nunique,display_id_count,view_count_sum,view_count_mean,view_count_median,view_count_gmean,like_count_sum,like_count_mean,like_count_median,like_count_gmean,dislike_count_sum,dislike_count_mean,dislike_count_median,dislike_count_gmean,duration_sum,duration_mean,duration_median,duration_gmean
0,,51,390,79829885.0,204692.0128205128,37403.5,37547.58004146769,70067.0,267.4312977099237,52.5,,7367.0,28.11832061068702,6.5,,60587,155.35128205128206,122.0,123.23726737367404
1,Autos & Vehicles,5476,346597,19724172164.0,56908.41519352559,4087.0,,52536027.0,153.65410004357858,13.0,,5020673.0,14.684151723694178,1.0,,82624579,238.38803855774862,141.0,135.79262715277505
2,Comedy,8521,134126,55633259707.0,414786.652055918,13708.0,,414595216.0,3118.617261662981,111.0,,22699742.0,170.74921394292247,6.0,,31833801,237.34250630004624,141.0,133.2197469534188
3,Education,8943,431814,35744690457.0,82780.66340203799,2960.0,,115997703.0,279.28641629909276,14.0,,11816523.0,28.45051476395015,1.0,,372944137,863.6684706841371,358.0,368.22024752586634
4,Entertainment,18263,1138921,199045499850.0,174767.34463529827,5088.0,,874359077.0,798.8107513777024,22.0,,72287411.0,66.0414726798322,2.0,,382177617,335.56112934962124,193.0,180.92644071647135
5,Film & Animation,8645,210133,59366014854.0,282516.38178677316,8808.0,0.0,225048186.0,1085.1657585372204,36.0,,18494682.0,89.17999286354913,2.0,,64524201,307.0636263699657,141.0,130.38811867574097
6,Gaming,7178,1057194,61142322239.0,57834.53390673803,4112.0,0.0,535684799.0,517.8049926053377,31.0,,24333055.0,23.520879046523543,2.0,,691779006,654.35388963615,476.0,363.7668604229166
7,Howto & Style,9870,435204,40609018749.0,93310.30677337524,8569.0,0.0,231498711.0,550.1643634099448,44.0,,14886486.0,35.37822762909922,3.0,,155957952,358.3559709929137,258.0,237.9146785965684
8,Music,16822,1059218,616683051716.0,582206.5277615446,7143.0,,3016788030.0,2893.7459521160267,41.0,,133079779.0,127.65201530905883,1.0,,313869288,296.32170903440084,227.0,218.47012912076437
9,News & Politics,4507,622280,12077182089.0,19410.16939484964,638.0,,60870937.0,105.23384131319854,3.0,,7479126.0,12.929933354655233,0.0,,224263093,360.3893633091213,161.0,185.00336036141465
10,Nonprofits & Activism,3481,109160,2680190409.0,24554.886432556734,1467.0,,21557652.0,207.35689277057443,9.0,,1762429.0,16.952300796429533,1.0,,71333920,653.4803957493588,282.0,297.8637120746062
11,People & Blogs,13489,426468,21607185508.0,50665.55092891127,1911.0,,173955885.0,423.07327590400126,14.0,,10473054.0,25.471223721459634,1.0,,212172160,497.5101531650675,249.0,236.665498774878
12,Pets & Animals,4148,89078,9473541287.0,106352.27148422152,2332.0,,37512503.0,433.46008874303806,14.0,,2789733.0,32.23559658893947,1.0,,16777148,188.34221693347402,111.0,111.13964979068155
13,Science & Technology,5703,314601,17707822437.0,56286.60569101814,4946.0,0.0,91717743.0,297.212649023147,18.0,,7435532.0,24.094947066200465,2.0,,138830907,441.29200797200264,213.0,220.5937008369159
14,Shows,1,39,2991922.0,76715.94871794872,40123.0,37869.34992346329,27477.0,704.5384615384615,277.0,253.24407409470396,647.0,16.58974358974359,8.0,6.843298923682749,57275,1468.5897435897436,1413.0,1459.8644666298585
15,Sports,6678,522120,22706146677.0,43488.36795564238,2832.0,0.0,86242163.0,167.7504094454494,9.0,,5552242.0,10.79971601408259,1.0,,137809388,263.94198268597256,142.0,138.76057022498188
16,Travel & Events,5410,183003,7211668768.0,39407.595370542396,1513.0,,25292385.0,142.29109822166964,6.0,,2172351.0,12.221315210603597,0.0,,45399269,248.07937028354726,146.0,138.21844476885911
