,categories,channel_id_nunique,display_id_count,view_count_sum,view_count_mean,view_count_median,view_count_gmean,like_count_sum,like_count_mean,like_count_median,like_count_gmean,dislike_count_sum,dislike_count_mean,dislike_count_median,dislike_count_gmean,duration_sum,duration_mean,duration_median,duration_gmean
0,,57,337,3179964.0,9436.094955489614,835.0,1055.9878687475514,3501.0,14.060240963855422,2.0,,773.0,3.104417670682731,0.0,,406783,1207.0712166172107,128.0,222.6250487801129
1,Autos & Vehicles,4227,260582,16087197782.0,61735.644756736845,3794.0,0.0,109060851.0,434.4309580430444,35.0,,9037584.0,36.00014340172799,2.0,,97325796,373.49393281193636,201.0,204.61579411113865
2,Comedy,7081,164941,46434112036.0,281519.52538180316,5650.0,0.0,870790880.0,5315.8915566299775,105.0,,32913635.0,200.9269026732353,4.0,,78745756,477.4177190631802,211.0,181.22659984908572
3,Education,8370,446510,71068099937.0,159166.72065012172,2403.0,,332805488.0,792.6034928278664,33.0,,49161400.0,117.08189545332219,2.0,,418449527,937.1560032250118,379.0,411.41143332239733
4,Entertainment,21586,1565403,311521702728.0,199004.7915788828,4162.0,,2326936991.0,1513.3437288836658,43.0,,174795743.0,113.67993311711074,2.0,,871670764,556.8347345699478,225.0,234.97514680569643
5,Film & Animation,10318,329656,88191540741.0,267527.59178107954,5241.5,,492504753.0,1525.878504064839,61.0,,44314089.0,137.29393558221386,3.0,,209456073,635.3777058509477,202.0,202.18805953413562
6,Gaming,16486,2035816,168325048020.0,82681.85730930496,3656.0,0.0,2714206229.0,1346.5281556297616,72.0,,115940513.0,57.51853468782913,3.0,,2657977435,1305.6078913811464,692.0,619.4418663386641
7,Howto & Style,13581,523933,52736930539.0,100655.8673322734,6375.0,0.0,846258261.0,1666.5155464443749,129.0,,36057695.0,71.0075305089986,5.0,,292688187,558.6366711010759,354.0,325.5180490589176
8,Movies,1,1,170642.0,170642.0,170642.0,170641.99999999997,2146.0,2146.0,2146.0,2146.0000000000005,202.0,202.0,202.0,202.00000000000006,229,229.0,229.0,229.00000000000006
9,Music,21011,1012825,302072117007.0,298247.39244626905,3360.0,,2295119007.0,2296.2993048426893,51.0,,115323739.0,115.38304588558519,2.0,,500814300,494.47268777923136,233.0,259.650094653068
10,News & Politics,2975,873908,18911261140.0,21640.9165020724,596.0,,200600177.0,236.39819154364582,4.0,,28551076.0,33.64614545193143,0.0,,419474749,479.998751584835,149.0,185.5445443934615
11,Nonprofits & Activism,1620,97483,2402937274.0,24650.061283108676,1180.0,,31359239.0,343.2228156774328,15.0,,2073716.0,22.69655346022087,1.0,,119473041,1225.5782136372495,538.0,481.90830846556946
12,People & Blogs,25145,1012489,103020449922.0,101751.80837517828,2515.0,,1328759401.0,1345.451066936413,49.0,,67992658.0,68.84677104154136,2.0,,635129233,627.2949464142326,333.0,304.0143356340999
13,Pets & Animals,2294,66900,10398148734.0,155428.2321973094,2033.5,0.0,87358978.0,1389.805081375185,38.0,,5324289.0,84.70479023815963,1.0,,29871855,446.5150224215247,138.0,148.71031291233552
14,Science & Technology,5563,281005,23617765475.0,84047.49194854184,3753.0,0.0,249493735.0,907.0817230259115,36.0,,21832327.0,79.37555944170354,3.0,,192240797,684.1187772459565,263.0,288.35361404889153
15,Sports,5983,545189,35473778305.0,65066.93697965293,2792.0,0.0,330699411.0,615.0338780679682,27.0,,16915963.0,31.46026264057743,1.0,,288496760,529.1683434552054,173.0,187.61034019464378
16,Travel & Events,4735,135793,7936416579.0,58445.39132644044,2474.0,,53335390.0,406.0153163371726,31.0,,3694839.0,28.126938331189148,1.0,,91443343,673.402480245668,261.0,257.26866188589025
