,categories,channel_id_nunique,display_id_count,view_count_sum,view_count_mean,view_count_median,view_count_gmean,like_count_sum,like_count_mean,like_count_median,like_count_gmean,dislike_count_sum,dislike_count_mean,dislike_count_median,dislike_count_gmean,duration_sum,duration_mean,duration_median,duration_gmean
0,,52,143,15835779.0,110739.71328671329,5113.0,5130.391850833582,16872.0,200.85714285714286,8.5,,4951.0,58.94047619047619,0.0,,92678,648.0979020979021,136.0,155.4539172147134
1,Autos & Vehicles,3452,258044,11608795193.0,44987.65789167739,1860.0,0.0,65617392.0,258.5845930736613,13.0,,5031605.0,19.828516370056274,1.0,,70252105,272.2485506347755,131.0,131.17114496275903
2,Comedy,5518,124527,38236554465.0,307056.7950869698,5572.5,,561957260.0,4584.93595287437,77.0,,22568592.0,184.1341970856518,4.0,,55257530,443.739349699262,186.0,164.11120129601906
3,Education,6739,326137,63581642054.0,194956.77227012377,2173.0,,195819247.0,630.8569113601072,22.0,,32670473.0,105.25213432903138,1.0,,296926173,910.4338759478379,337.0,369.9113692117429
4,Entertainment,16387,1029927,226885544879.0,220292.84102562608,4738.0,0.0,1453459314.0,1432.1291819638307,41.0,,93949124.0,92.57038074912256,2.0,,559364970,543.1112787605335,223.0,229.41416469076594
5,Film & Animation,7966,233288,62052342144.0,265990.28730153287,5337.0,0.0,298219094.0,1305.1906410430354,51.0,,25347772.0,110.9374800316867,2.0,,126012487,540.1584607866671,178.0,181.093124423726
6,Gaming,12221,1512749,133818209275.0,88460.28605869183,3827.0,0.0,1989299946.0,1325.8614273822084,67.0,,66904508.0,44.59161960646048,2.0,,1571804786,1039.0387208981795,630.0,542.7968612519098
7,Howto & Style,10485,380797,37383545869.0,98171.84974934152,6498.0,0.0,563270851.0,1525.3011928456342,113.0,,21402699.0,57.95713067143264,4.0,,201212467,528.3982463097136,338.0,313.69894927366937
8,Movies,1,1,32070.0,32070.0,32070.0,32070.000000000015,877.0,877.0,877.0,877.0,19.0,19.0,19.0,18.999999999999996,190,190.0,190.0,190.0
9,Music,17688,795565,268239785029.0,337170.18287575326,3569.0,,1830626559.0,2339.653209531782,43.0,,83321173.0,106.48957804801677,1.0,,362250957,455.337976155311,233.0,249.98093150439604
10,News & Politics,2199,596981,13481673225.0,22583.615551613406,451.0,,118411730.0,204.17716477051312,3.0,,12328658.0,21.258286116293586,0.0,,264779672,443.5311542578407,146.0,176.29548510590732
11,Nonprofits & Activism,1533,82187,2319187943.0,28218.77136008566,1332.0,,26713866.0,340.85982238554584,16.0,,1550463.0,19.783379268105957,1.0,,87327572,1062.5472641658657,529.0,473.5215831039672
12,People & Blogs,19567,635832,59184834708.0,93083.08962172159,2226.0,,675375802.0,1083.5398432549073,37.0,,29555177.0,47.41687777251907,1.0,,368633916,579.7662212659948,298.0,271.5290079187453
13,Pets & Animals,2017,48439,7240804847.0,149482.95478849686,1790.0,0.0,46090987.0,968.0133364136599,20.0,,2727774.0,57.28932666862688,1.0,,15670552,323.51105514151817,116.0,121.30908895540534
14,Science & Technology,4291,220923,16166386952.0,73176.5680893343,3604.0,0.0,150669901.0,702.5056580020981,28.0,,10432880.0,48.64380463923534,2.0,,130492800,590.6709577545117,238.0,259.99834221392
15,Sports,5093,435426,28085563472.0,64501.49502669805,2777.0,,214469089.0,500.4248717841026,23.0,,10592829.0,24.716452701283792,1.0,,211852088,486.5398207732198,155.0,169.44095591056004
16,Travel & Events,4329,127107,6191278871.0,48709.18888023476,1991.0,0.0,45039801.0,364.4026327073844,22.0,,2477227.0,20.042451799771843,1.0,,116538035,916.8498587803977,264.0,284.37648101968523
