,categories,channel_id_nunique,display_id_count,view_count_sum,view_count_mean,view_count_median,view_count_gmean,like_count_sum,like_count_mean,like_count_median,like_count_gmean,dislike_count_sum,dislike_count_mean,dislike_count_median,dislike_count_gmean,duration_sum,duration_mean,duration_median,duration_gmean
0,,89,189,26831827.0,141967.33862433862,4229.0,0.0,58865.0,1090.0925925925926,214.5,,3681.0,68.16666666666667,24.5,,314818,1665.7037037037037,171.0,420.1041280131027
1,Autos & Vehicles,5672,311582,13831576376.0,44391.44872296859,2210.0,0.0,212215588.0,694.1138367742104,47.0,,10636262.0,34.78904021770416,2.0,,161317784,517.7378154065383,254.0,243.9764030538362
2,Comedy,6358,151984,32557907576.0,214220.7192646546,10950.0,,981022594.0,6531.572494790175,370.0,,31501624.0,209.73537420853944,12.0,,117071125,770.2858524581535,369.0,324.0504543089186
3,Education,11379,604235,49239793687.0,81491.26611048037,2611.0,,647797227.0,1111.5677444927571,93.0,,63091693.0,108.26025175967521,3.0,,703683643,1164.5860352346356,593.0,572.1228059978528
4,Entertainment,31571,2226961,291232558645.0,130775.89602906923,3925.0,,4377064708.0,2010.930030133642,87.0,,269710697.0,123.91165683575167,4.0,,1825635840,819.7879711409405,334.0,341.4525314075646
5,Film & Animation,12227,392301,65349852230.0,166581.3210043334,3118.0,,730229668.0,1899.2162813077064,74.0,,55050087.0,143.17690187000963,3.0,,298279513,760.3332976464501,209.0,202.46148689350093
6,Gaming,23016,2014444,124320376073.0,61714.48601847458,4380.0,0.0,3310550408.0,1656.1919062200927,125.0,,123766554.0,61.91754836301893,5.0,,3836704750,1904.5973727738274,774.0,809.7981807464109
7,Howto & Style,15521,594860,48504452345.0,81539.2736862455,3678.0,0.0,888361082.0,1568.5199613679422,143.0,,45529324.0,80.3880932748791,5.0,,441952970,742.9529132905221,485.0,418.9080242960843
8,Music,26461,1329271,148665991167.0,111840.57918160911,1534.0,,2437581179.0,1852.1457041148558,47.0,,95192009.0,72.3296815935141,1.0,,689696785,518.8534053627891,224.0,254.88324531479213
9,News & Politics,3841,2566841,38861083988.0,15139.754025986978,821.0,,648817184.0,261.13925179629103,11.0,,59557268.0,23.970913206502228,1.0,,1446614416,563.5777268634871,172.0,216.0061917892081
10,Nonprofits & Activism,1667,110137,1371746187.0,12454.907860210466,886.0,0.0,32352698.0,314.90488426872236,29.0,,1347951.0,13.120276820650586,1.0,,178937036,1624.6768660849668,760.0,650.4201144833862
11,People & Blogs,24488,1107647,86011102084.0,77658.81849594285,3243.0,,1829515953.0,1697.0178874050741,120.0,,85769345.0,79.55771712039122,4.0,,934890029,844.0324661196212,465.0,399.58044755675104
12,Pets & Animals,2441,118582,8353782215.0,70447.30410180298,1679.0,0.0,140076313.0,1217.2504518752824,49.0,,6393189.0,55.556232402933716,2.0,,80130227,675.7368487628814,289.0,245.5721520594503
13,Science & Technology,7086,364092,27339371287.0,75089.18429133296,2422.0,0.0,422028952.0,1197.7209444885912,61.0,,30884892.0,87.65152684754229,4.0,,242288183,665.45868351955,327.0,326.56777184307924
14,Sports,6804,683717,36243231989.0,53009.113403645075,3020.0,0.0,533899613.0,789.2762616750587,59.0,,26122203.0,38.61706251238096,2.0,,536719546,785.0024878714439,268.0,277.3292621822824
15,Travel & Events,4464,146281,6811623712.0,46565.334609416124,1714.0,0.0,106205084.0,747.5967112950683,38.0,,4569781.0,32.167511368275825,2.0,,98374583,672.5041734743405,301.0,296.08691771152195
